2021-06-28-08:41:04.478  1 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value True for EnableLogging setting
2021-06-28-08:41:04.485  1 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value Info for LoggingLevel setting
2021-06-28-08:41:04.485  1 Info Microsoft.Teams.MeetingAddin.Application SetupLogging Exit
2021-06-28-08:41:04.490  1 Info ManagedHelpers.Bootstrapper CreateAggregatedInstance Setting up aggregation in managed component
2021-06-28-08:41:04.490  1 Info ManagedHelpers.Bootstrapper CreateAggregatedInstance Storing inner object references in the outer object
2021-06-28-08:41:04.576  4 Info Microsoft.Teams.MeetingAddin.Connect OnConnection Entry
2021-06-28-08:41:04.576  4 Info Microsoft.Teams.MeetingAddin.Connect  ,Property Value:  Regkey propery name: DisableOnConnectionTimingErrorFix
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value True for EnableLogTeamsRegistryHive setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Scheduler.SchedulerService LogTeamsAuthKeys TeamsHive values: [InstallSource:MSI][adalVersion:v2][LoggedInOnce:1][currentTeamsDeepLinkUrlProtocolVersion:1.0.0.0][minStableTeamsDeepLinkUrlProtocolVersion:1.0.0.0][allowPrivateMeetNow:true][currentTeamsAddinVersion:1.0.21063.3][minStableTeamsAddinEMOVersion:1.0.20275.4][nativeWam:1][webAccountId:YLnVbO301Nt94MARoRiXaBdwD3OkRTJteEceZ_3L53o][HomeUserUpn:jsnl@gft.com][autoAdmittedUsers:EveryoneInCompany]
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value True for EnableWAMRequestAuthenticator setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value False for EnableUseCurrentBuildRegistryKey setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value False for EnableUseCurrentBuildRegistryKey setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Scheduler.SchedulerService IsWAMSupportedByOS EnableUseCurrentBuildRegistryKey False, CurrentMajorVersionNumber 10, CurrentBuildNumber: 19042
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value 15063 for MinWAMOSBuildNumber setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value True for EnableWAMRequestAuthenticator setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Scheduler.SchedulerService GetRequestAuthenticator AuthenticationMechanism detected: WAM, EnableWAMRequestAuthenticator True, IsWAMSupportedByOS True
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value True for EnableWAMRequestAuthenticator setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value https://login.windows.net for WebAccountProviderId setting
2021-06-28-08:41:04.622  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value https://login.microsoftonline.com/common for WAMAuthority setting
2021-06-28-08:41:04.639  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value https://scheduler.teams.microsoft.com/ for AudienceUrl setting
2021-06-28-08:41:04.642  4 Info Microsoft.Teams.MeetingAddin.Settings.SettingsBase Lookup Returning default value https://teams.microsoft.com/ for MiddleTierAudienceUrl setting
2021-06-28-08:41:04.642  4 Info Microsoft.Teams.MeetingAddin.Factory.HttpClientFactory CreateAuthZHttpClient Entry
